"sampleid","age","tooth_type","species","cc","published","publication","notes","collection_date"
"ANGB131",1,"lower left canine","Eidolon_dupreanum","A","no",NA,"age inferred from 1 tooth",2018-02-14
"ANGB132",4,"multiple","Eidolon_dupreanum","A","no",NA,"age inferred from multiple teeth",2018-02-14
"ANGB135",3,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2018-04-09
"ANGB142",1,"lower left canine","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2018-04-09
"ANGB143",3,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2018-07-27
"ANGB147",5,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2018-07-27
"ANGB156",3,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2018-09-09
"ANGB157",8,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2018-09-09
"ANGB158",8,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2018-09-09
"ANGB159",5,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2018-09-09
"ANGB160",2,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2018-09-09
"ANGB161",2,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2018-09-09
"ANGB162",4,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2018-09-09
"CAT017",3,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-11-04
"CAT018",1,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-11-04
"CAT019",2,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-11-04
"CAT021",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-11-04
"CAT026",1,"lower right premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-11-05
"CAT027",3,"lower right premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-11-05
"CAT032",4,"lower right premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-11-05
"CAT034",3,"lower right premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-11-05
"CAT035",2,"lower right premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-11-05
"CAT036",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-11-05
"CAT037",10,"lower right premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-11-05
"KEL172",2.5,"multiple","Eidolon_dupreanum","A","no",NA,"age inferred from multiple teeth",2018-02-15
"KEL173",5.25,"multiple","Eidolon_dupreanum","A","no",NA,"age inferred from multiple teeth",2018-02-15
"KEL177",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2018-02-16
"KEL178",6,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2018-02-16
"KEL185",6,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2018-04-10
"KEL186",5,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2018-04-10
"KEL187",5,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2018-04-10
"KEL188",4,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2018-04-10
"KEL198",6,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2018-04-10
"KEL213",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2018-07-27
"KEL217",2,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2018-07-27
"KEL218",2,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2018-07-27
"KEL219",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2018-07-27
"KEL222",7,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2018-07-27
"KEL227",4,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2018-07-27
"KEL252",7,"lower right canine","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-01-06
"KEL254",1,"lower left canine","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-01-06
"KEL255",2,"lower left canine","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-01-08
"KEL256",4,"lower left canine","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-01-08
"KEL257",4,"lower left canine","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-01-08
"KEL258",16,"lower left canine","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-01-08
"KEL260",10,"lower left canine","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-01-08
"KEL261",8,"lower left canine","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-01-08
"KEL262",1,"lower left canine","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-01-08
"KEL263",6,"lower right canine","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-01-08
"KEL264",4,"lower left canine","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-01-08
"KEL270B",0.5,"multiple","Eidolon_dupreanum","A","no",NA,"age inferred from multiple teeth",2019-03-14
"KEL273B",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-03-14
"KEL275B",2,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-03-14
"KEL276B",2,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-03-14
"KEL277B",3,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-03-14
"KEL278B",6,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-03-14
"KEL279B",2,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-03-14
"KEL284B",1,"lower right canine","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-03-15
"KEL290",4,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-02-06
"KEL291",4,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-02-06
"KEL295",2,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-02-06
"KEL296",6,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-02-06
"KEL297",5,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-02-06
"KEL298",3,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-02-06
"KEL304",1,"lower right canine","Eidolon_dupreanum","A","no",NA,"age inferred from 1 tooth",2019-04-23
"KEL305",10,"lower left canine","Eidolon_dupreanum","A","no",NA,"age inferred from 1 tooth",2019-04-23
"KEL309",6,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-04-23
"KEL310",9.33333333333333,"multiple","Eidolon_dupreanum","A","no",NA,"age inferred from multiple teeth",2019-04-23
"KEL312",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-04-23
"KEL313",8,"upper right canine","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-04-23
"KEL316",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-04-23
"KEL317",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-04-23
"KEL319",1,"multiple","Eidolon_dupreanum","A","no",NA,"age inferred from multiple teeth",2019-04-23
"KEL326",2,"upper right canine","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-04-23
"KEL328",6,"upper right canine","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-04-23
"KEL332",2.5,"multiple","Eidolon_dupreanum","A","no",NA,"age inferred from multiple teeth",2019-04-23
"KEL333",9,"lower left canine","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-04-23
"KEL336",6,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-06-05
"KEL337",4,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-06-05
"KEL339",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-06-05
"KEL340",1,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-06-05
"KEL345",9,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-06-06
"KEL348",10,"upper left canine","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-07-07
"KEL349",5,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-07-07
"KEL354",1,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-07-07
"KEL361",3,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-08-24
"KEL366",8,"lower right premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-08-24
"KEL367",2,"upper right canine","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-08-24
"KEL368",3,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-08-24
"KEL369",2,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-09-20
"KEL370",10,"upper left canine","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-09-20
"KEL380",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-09-20
"KEL389",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-09-20
"KEL392",3,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-10-17
"KEL395",1,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-10-17
"KEL396",1,"multiple","Eidolon_dupreanum","A","no",NA,"age inferred from multiple teeth",2019-10-17
"KEL403",2,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-11-16
"KEL404",2,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-11-16
"KEL415",1,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-11-16
"KEL430",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-12-11
"KEL432",1,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-12-11
"KEL437",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-12-11
"KEL440",5,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2020-02-02
"KEL442",4,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2020-02-02
"KEL449",1,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2020-02-02
"KEL459",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2020-02-02
"KEL459",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2020-03-11
"KEL471",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2020-03-10
"KEL486",2,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2020-03-12
"MIZ154",0.333333333333333,"multiple","Rousettus_madagascariensis","A","no",NA,"age inferred from multiple teeth",2018-02-19
"MIZ163",6,"multiple","Rousettus_madagascariensis","A","no",NA,"age inferred from multiple teeth",2018-02-19
"MIZ167",3,"multiple","Rousettus_madagascariensis","A","no",NA,"age inferred from multiple teeth",2018-04-13
"MIZ262",3,"multiple","Rousettus_madagascariensis","B","no",NA,"age inferred from multiple teeth",2018-12-21
"MIZ284",2,"multiple","Rousettus_madagascariensis","A","no",NA,"age inferred from multiple teeth",2019-01-03
"MIZ380",3.66666666666667,"multiple","Rousettus_madagascariensis","A","no",NA,"age inferred from multiple teeth",2019-02-23
"MIZ381",4,"multiple","Rousettus_madagascariensis","A","no",NA,"age inferred from multiple teeth",2019-02-23
"MLB001",4,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2018-12-13
"MLB004",1,"lower right premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2018-12-16
"MLB005",5,"lower right premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2018-12-17
"MLB006",2,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2018-12-18
"MLB009",2,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2018-12-18
"MNG003",2,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2018-09-23
"TSI001",2,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2019-06-15
"TSI002",3,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2019-06-16
"TSI004",1,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2019-07-17
"TSI007",1,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2019-07-18
"TSI008",4,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2019-07-20
"TSI011",4,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2019-07-21
"TSI012",2,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2019-07-22
"TSI013",6,"upper left canine","Pteropus_rufus","A","no",NA,"age inferred from 1 tooth",2019-07-22
"TSI022",2,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2019-09-01
"TSI023",3,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2019-09-02
"TSI025",2,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2019-09-02
"TSI026",2,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2019-09-02
"TSI027",3,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2019-09-02
"TSI028",1,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2019-09-02
"TSI029",2,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2019-09-02
"TSI030",3,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2019-09-02
"TSI032",1,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2019-09-03
"TSI035",1,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2019-09-07
"TSI046",2,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2019-10-04
"TSI065",8,"upper right canine","Pteropus_rufus","A","no",NA,"age from 1 tooth",2020-02-24
"TSI067",7,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2020-02-26
"TSI068",2,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2020-02-28
"TSI069",2,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2020-02-28
"TSI070",3,"lower left premolar","Pteropus_rufus","B","no",NA,"age from 1 tooth",2020-02-28
"TSI074",2,"lower right premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2020-03-23
"TSI075",2,"lower left premolar","Pteropus_rufus","A","no",NA,"age from 1 tooth",2020-03-25
"WAY025",13.6666666666667,"multiple","Eidolon_dupreanum","A","no",NA,"age inferred from multiple teeth",2019-11-01
"WAY031",4,"lower right premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-11-01
"WAY039",4,"lower right premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-11-02
"WAY043",1,"lower right premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-11-02
"WAY047",2,"lower right premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-11-02
"WAY048",2,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-11-03
"WAY049",9,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-11-03
"WAY054",5,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-11-27
"WAY074",3,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-11-28
"WAY075",3,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-11-29
"WAY076",7,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-11-29
"WAY077",5,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-11-29
"WAY078",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-11-29
"WAY080",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-11-29
"WAY082",7,"lower left premolar","Eidolon_dupreanum","C","no",NA,"age from 1 tooth",2019-11-29
"AMB124",0.4,NA,"Pteropus rufus","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2018-02-23
"AMB127",0.402739726027397,NA,"Pteropus rufus","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2018-02-24
"AMB128",0.405479452054795,NA,"Pteropus rufus","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2018-02-25
"AMB133",0.413698630136986,NA,"Pteropus rufus","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2018-02-28
"AMB137",0.416438356164384,NA,"Pteropus rufus","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2018-03-01
"AMB140",0.542465753424658,NA,"Pteropus rufus","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2018-04-16
"AMB142",0.545205479452055,NA,"Pteropus rufus","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2018-04-17
"AMB144",0.545205479452055,NA,"Pteropus rufus","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2018-04-17
"AMB146",0.550684931506849,NA,"Pteropus rufus","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2018-04-19
"AMB153",0.852054794520548,NA,"Pteropus rufus","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2018-08-07
"AMB154",0.852054794520548,NA,"Pteropus rufus","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2018-08-07
"AMB161",0.372602739726027,NA,"Pteropus rufus","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2019-02-13
"AMB170",0.487671232876712,NA,"Pteropus rufus","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2019-03-27
"ANGB146",0.69041095890411,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2018-07-27
"CAT003",0.86027397260274,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2019-09-27
"CAT028",0.967123287671233,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2019-11-05
"CAT029",0.967123287671233,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2019-11-05
"CAT033",0.967123287671233,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2019-11-05
"KEL158",0.246575342465753,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2018-02-15
"KEL159",0.246575342465753,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2018-02-15
"KEL164",0.246575342465753,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2018-02-15
"KEL166",0.246575342465753,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2018-02-15
"KEL169",0.246575342465753,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2018-02-15
"KEL171",0.246575342465753,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2018-02-15
"KEL193",0.394520547945205,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2018-04-10
"KEL206",0.394520547945205,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2018-04-10
"KEL215",0.69041095890411,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2018-07-27
"KEL221",0.69041095890411,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2018-07-27
"KEL228",0.69041095890411,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2018-07-27
"KEL236",0.69041095890411,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2018-07-27
"KEL253",0.136986301369863,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2019-01-06
"KEL259",0.142465753424658,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2019-01-08
"KEL268B",0.320547945205479,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2019-03-14
"KEL281",0.219178082191781,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2019-02-05
"KEL286",0.219178082191781,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2019-02-05
"KEL327",0.43013698630137,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2019-04-23
"KEL363",0.635616438356164,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2019-07-07
"KEL378",0.841095890410959,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2019-09-20
"KEL391",0.915068493150685,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2019-10-17
"KEL394",0.915068493150685,NA,"Eidolon dupreanum","A","no",NA,"aged as juvenile from days since day 0: Sep 29 for P. rufus, Nov 16 for E. dupreanum, Dec. 12 for R. madagascariensis",2019-10-17
